years_experience,skills_match_score,education_level,resume_length,shortlisted
5,73.1,Masters,557,1
2,48.2,Bachelors,453,0
9,65.4,PhD,521,1
4,58.7,High School,349,0
5,53.0,Bachelors,510,0
4,93.9,PhD,406,1
5,46.9,Bachelors,636,1
7,100.0,PhD,365,1
6,81.5,PhD,637,1
4,70.3,Masters,312,1
9,71.1,Masters,403,1
5,81.1,Masters,553,0
13,84.2,Masters,576,1
3,71.8,Masters,265,0
11,95.9,Masters,541,1
8,91.0,PhD,356,1
12,100.0,Masters,846,1
3,79.1,PhD,755,1
0,38.7,High School,386,0
6,38.3,Bachelors,611,0
6,72.7,Bachelors,734,1
3,66.9,Bachelors,388,0
12,100.0,Masters,724,1
13,81.8,Bachelors,900,1
2,74.6,PhD,392,0
7,83.2,Bachelors,566,1
4,73.2,Bachelors,587,1
15,100.0,Bachelors,672,1
9,67.0,Masters,623,1
6,50.4,High School,522,1
3,59.3,Bachelors,627,0
3,34.6,Masters,563,1
7,70.9,Bachelors,570,1
13,73.6,Bachelors,585,1
7,80.1,Masters,641,1
1,51.0,High School,324,0
13,68.3,Bachelors,900,1
1,74.7,High School,504,0
2,62.7,Bachelors,399,1
14,100.0,Masters,803,1
11,77.8,High School,522,1
11,90.2,Masters,900,1
2,48.6,PhD,411,0
0,76.7,Bachelors,288,0
14,100.0,PhD,770,1
13,83.2,Bachelors,723,1
2,61.3,High School,233,0
5,78.0,High School,471,0
7,65.9,Bachelors,578,1
12,61.5,Masters,900,1
11,74.2,Bachelors,704,1
13,89.5,Masters,535,1
9,78.8,Masters,888,1
5,87.3,Bachelors,544,0
4,54.9,Masters,472,0
14,80.5,PhD,708,1
3,43.1,High School,427,0
15,93.9,Bachelors,651,1
2,38.6,Bachelors,330,0
15,98.7,Bachelors,795,1
12,67.5,Bachelors,836,1
3,51.9,Bachelors,491,0
13,100.0,Masters,864,1
6,91.7,Masters,487,1
0,63.0,Masters,522,0
6,49.8,Bachelors,443,1
0,87.7,Bachelors,166,0
1,56.6,Bachelors,217,0
14,89.2,Bachelors,900,1
3,84.7,PhD,568,1
0,28.1,Bachelors,284,0
10,63.4,High School,552,0
11,78.5,Bachelors,676,1
10,83.2,Masters,838,1
14,69.7,Masters,818,1
10,82.4,Bachelors,489,1
8,74.0,Bachelors,453,1
11,100.0,Bachelors,503,1
5,86.3,Masters,185,1
12,85.0,PhD,502,1
0,58.3,Masters,171,0
0,76.5,Masters,555,0
5,71.8,Bachelors,409,0
3,42.9,Bachelors,437,0
3,98.7,Masters,339,1
15,72.7,Bachelors,630,1
14,100.0,PhD,726,1
10,83.9,Bachelors,461,1
14,71.5,High School,900,1
5,35.7,Masters,365,1
14,92.7,High School,828,1
13,60.2,Bachelors,716,1
11,84.9,Bachelors,496,1
10,100.0,Masters,685,1
6,52.4,Bachelors,530,0
8,80.1,High School,647,1
9,67.1,Masters,824,1
15,100.0,Bachelors,900,1
4,74.0,PhD,248,1
8,73.2,Bachelors,565,1
3,85.4,Masters,561,0
12,90.9,Bachelors,840,1
9,67.2,Masters,619,1
1,90.1,Masters,257,0
2,46.0,PhD,591,1
12,81.1,High School,791,1
10,65.2,Bachelors,473,1
0,38.9,Masters,558,0
13,62.0,High School,677,1
13,82.8,Bachelors,793,1
5,80.2,PhD,380,1
12,97.4,Bachelors,601,1
5,97.1,PhD,324,1
0,57.2,High School,482,0
10,74.6,Masters,693,1
12,100.0,Masters,540,1
2,52.3,Bachelors,220,0
4,49.1,PhD,680,1
2,75.6,Bachelors,346,0
9,99.1,Masters,463,1
2,52.9,Masters,561,0
13,100.0,Bachelors,689,1
9,91.7,PhD,572,1
2,68.0,Bachelors,423,0
4,61.5,Masters,483,0
12,96.8,Bachelors,797,1
15,68.4,Masters,586,1
4,64.2,Masters,648,0
3,52.5,Bachelors,281,0
0,41.6,Masters,284,0
4,78.4,Bachelors,600,0
9,80.6,Bachelors,694,1
15,99.6,Bachelors,900,1
4,56.8,High School,301,1
3,78.3,Bachelors,365,1
5,68.7,Bachelors,616,0
9,68.4,Bachelors,730,1
3,53.9,Bachelors,299,0
13,53.8,Bachelors,893,1
6,90.7,Masters,648,1
6,89.0,Masters,468,1
1,100.0,Bachelors,419,0
2,60.2,Masters,527,1
0,51.2,Masters,540,0
7,49.7,Masters,442,0
8,87.9,Bachelors,646,1
3,69.9,High School,455,1
5,94.5,Masters,614,1
8,63.5,Masters,659,1
5,78.2,Bachelors,482,1
13,75.7,Bachelors,755,1
11,100.0,Masters,590,1
11,91.3,Masters,673,1
11,59.9,Masters,798,1
8,71.5,Bachelors,711,1
14,56.3,Bachelors,760,1
3,41.6,High School,444,0
7,55.0,Bachelors,623,0
8,59.4,High School,541,1
3,63.3,Masters,452,0
4,68.0,Bachelors,264,0
13,89.0,Masters,772,1
7,66.6,High School,680,1
11,84.5,Bachelors,736,1
9,56.8,Bachelors,800,0
13,84.6,Bachelors,643,1
5,92.8,Masters,395,1
11,77.0,Bachelors,705,1
6,76.9,Bachelors,649,1
2,63.0,High School,394,0
6,77.9,High School,420,0
11,87.6,Masters,766,1
13,96.2,Bachelors,800,1
7,82.9,Masters,647,1
9,89.1,Masters,536,1
15,94.1,Bachelors,673,1
15,72.4,Bachelors,790,1
5,53.7,Masters,523,1
14,84.0,Masters,682,1
9,98.8,Bachelors,459,1
8,66.4,High School,706,0
12,81.6,High School,853,1
5,38.0,Bachelors,540,0
11,77.9,High School,616,1
8,74.8,Bachelors,452,1
12,41.4,Bachelors,738,0
3,67.9,Bachelors,313,0
7,46.7,Bachelors,678,1
10,70.4,Masters,535,1
3,82.2,Masters,411,1
1,69.4,PhD,340,0
9,68.8,Bachelors,576,1
10,73.2,Masters,681,1
8,67.2,Bachelors,779,0
4,71.7,Masters,659,1
3,45.5,Bachelors,536,0
1,71.9,High School,565,0
0,47.8,PhD,482,0
10,55.3,Masters,677,1
6,91.9,PhD,575,1
5,60.9,Bachelors,528,1
14,86.6,Bachelors,877,1
14,95.3,Bachelors,640,1
1,52.5,Masters,365,0
15,93.3,Masters,900,1
7,88.7,PhD,468,1
10,97.6,High School,766,1
3,59.6,Masters,435,0
7,64.6,Bachelors,621,1
14,93.9,Bachelors,666,1
15,90.6,Bachelors,900,0
6,67.4,Bachelors,513,1
4,89.4,Bachelors,714,0
9,50.3,Bachelors,546,1
9,54.2,Bachelors,608,1
11,54.4,Bachelors,605,1
7,89.5,Bachelors,394,1
15,95.2,Bachelors,830,1
13,58.4,High School,698,1
8,79.2,PhD,415,1
4,72.6,PhD,705,0
9,42.4,Bachelors,686,1
4,75.8,PhD,624,1
1,45.6,Masters,201,0
4,71.6,High School,605,0
2,44.3,Bachelors,332,0
6,80.3,PhD,621,0
9,98.7,Masters,602,1
4,83.9,Masters,432,1
7,82.9,Masters,464,1
0,56.3,Bachelors,359,0
2,34.5,High School,465,0
2,54.9,Bachelors,335,1
8,65.6,High School,476,1
4,61.0,Bachelors,506,0
15,64.5,Bachelors,900,1
11,86.0,Bachelors,621,1
8,55.8,Bachelors,649,0
12,100.0,Bachelors,741,1
8,75.7,Bachelors,397,1
0,72.2,Bachelors,250,0
1,73.9,Bachelors,352,0
4,100.0,Masters,447,1
3,73.7,PhD,530,1
14,79.6,Bachelors,694,1
9,65.4,High School,781,1
8,99.7,Masters,441,1
6,49.7,Bachelors,491,1
5,58.1,Masters,486,0
6,73.1,Bachelors,809,0
0,59.0,Masters,239,0
0,79.5,PhD,359,1
7,55.2,Masters,563,1
12,80.5,Bachelors,845,1
12,82.4,Masters,655,1
1,47.2,Masters,458,0
11,96.4,Masters,770,1
9,69.6,High School,719,1
10,79.2,Masters,660,1
8,61.1,Bachelors,599,1
6,64.0,Bachelors,390,1
5,55.9,Masters,536,1
0,70.5,Bachelors,308,0
0,76.7,Masters,238,0
1,88.5,Masters,345,0
5,74.0,Bachelors,327,1
13,82.2,Masters,666,1
5,68.0,PhD,416,1
1,66.9,Bachelors,554,0
0,64.3,Masters,308,0
9,72.9,Bachelors,717,1
4,61.6,Bachelors,650,0
4,83.1,Bachelors,360,1
1,53.0,Bachelors,446,0
5,83.2,High School,400,0
15,97.7,PhD,751,1
8,71.7,Masters,565,1
1,47.7,Bachelors,386,0
9,73.2,Bachelors,733,1
1,67.1,Bachelors,307,0
15,81.8,Bachelors,840,1
15,100.0,Bachelors,793,1
2,55.1,Bachelors,184,0
12,79.6,Bachelors,821,0
6,50.2,Bachelors,516,0
5,79.6,Masters,457,1
11,79.2,Masters,588,1
7,95.2,Bachelors,529,1
14,91.6,High School,900,1
7,72.8,Bachelors,605,1
5,93.4,PhD,459,1
11,89.3,Masters,724,1
10,96.4,Masters,450,1
9,70.1,PhD,606,1
2,68.4,Bachelors,528,0
15,100.0,PhD,857,1
2,38.3,Bachelors,507,0
14,100.0,Bachelors,808,1
0,43.8,Masters,214,0
15,68.0,Bachelors,672,1
15,48.5,Masters,659,1
6,76.6,Bachelors,569,0
4,44.6,Masters,482,0
3,55.7,Bachelors,648,0
9,83.6,High School,629,1
14,95.9,PhD,900,1
3,57.9,Masters,523,1
13,67.1,PhD,773,1
3,65.6,Masters,523,1
5,84.1,Masters,397,1
14,99.8,Masters,738,1
7,98.3,Bachelors,401,1
7,61.7,Bachelors,615,1
4,45.7,Bachelors,439,0
14,93.9,Masters,641,1
5,70.7,Bachelors,215,0
3,70.9,PhD,269,1
11,68.3,Bachelors,737,1
13,47.4,Masters,702,1
10,62.4,Bachelors,710,1
12,89.9,Bachelors,523,1
8,85.3,PhD,465,1
7,86.0,Bachelors,348,1
9,80.7,Bachelors,796,1
11,90.5,Bachelors,735,1
9,87.0,Bachelors,550,1
0,57.8,Bachelors,183,0
14,89.7,Masters,762,1
1,15.9,Bachelors,150,0
8,67.4,Masters,654,1
7,62.3,Bachelors,525,1
13,85.6,Masters,900,1
2,51.3,Masters,464,0
7,81.1,High School,508,1
11,66.3,Bachelors,376,1
0,69.5,High School,567,0
9,64.8,Masters,585,1
3,58.2,Masters,510,0
2,58.8,PhD,406,0
5,60.1,Bachelors,533,0
6,87.2,Bachelors,423,1
3,58.6,Bachelors,322,0
6,65.0,Bachelors,337,1
8,62.4,Bachelors,669,1
10,69.1,High School,790,1
1,66.5,Masters,620,1
10,74.3,Bachelors,554,1
2,63.0,Masters,351,1
4,80.7,Bachelors,545,1
2,73.1,PhD,433,0
10,67.7,PhD,649,1
7,77.7,PhD,558,1
11,75.2,Masters,613,1
9,87.1,Masters,632,1
7,76.8,Masters,625,1
7,88.5,Bachelors,206,1
11,72.1,Masters,618,1
11,80.4,Masters,882,1
8,65.0,PhD,673,1
3,62.9,Bachelors,345,0
4,42.5,Bachelors,492,0
4,74.1,Masters,546,0
7,78.2,PhD,558,1
6,71.8,Bachelors,770,1
8,85.3,Bachelors,403,1
14,88.9,Bachelors,726,1
14,66.3,Bachelors,764,1
15,74.7,High School,755,1
13,82.3,Bachelors,671,1
7,70.3,Masters,459,1
1,51.9,High School,657,0
9,99.8,Bachelors,626,1
11,84.8,Masters,795,1
3,76.7,PhD,433,1
5,44.9,PhD,623,1
11,90.7,Bachelors,625,1
1,100.0,PhD,594,1
6,85.2,High School,368,1
15,84.6,Masters,759,1
2,99.5,Masters,350,1
12,81.9,Bachelors,850,1
2,66.1,Bachelors,291,0
10,73.5,Bachelors,603,1
1,58.9,Masters,373,0
10,43.8,Bachelors,621,1
7,87.1,Masters,362,1
5,63.0,Bachelors,457,1
0,54.7,Bachelors,446,0
11,91.1,PhD,620,1
0,55.0,Masters,399,0
6,81.0,PhD,628,1
15,100.0,Bachelors,900,1
7,77.6,Bachelors,649,1
4,63.2,Bachelors,583,0
15,85.6,Bachelors,859,1
11,82.5,Bachelors,595,1
15,78.8,Masters,835,1
10,80.6,Bachelors,600,1
4,75.8,Bachelors,475,0
3,64.8,Bachelors,678,0
13,80.9,Masters,900,1
5,66.9,Masters,344,1
13,93.3,Bachelors,692,1
5,51.0,Bachelors,505,1
2,49.3,Bachelors,433,0
15,70.9,PhD,791,1
8,81.5,PhD,765,1
11,96.2,Masters,575,1
10,93.0,High School,690,1
13,100.0,Bachelors,783,1
6,62.9,Masters,667,1
15,98.8,PhD,876,1
0,59.0,PhD,391,1
14,100.0,Masters,900,1
12,96.6,High School,824,1
6,79.5,PhD,642,1
4,60.0,Masters,698,0
4,17.5,Masters,391,0
13,62.0,Bachelors,829,1
12,53.7,Bachelors,822,1
1,37.8,Bachelors,330,0
3,91.7,Bachelors,497,0
11,60.1,Bachelors,661,1
5,55.3,Masters,368,1
9,57.2,High School,649,1
14,100.0,Bachelors,790,1
10,76.6,Bachelors,587,1
6,84.4,Bachelors,377,1
15,97.6,PhD,873,1
10,47.7,Bachelors,505,0
4,88.5,Bachelors,516,1
8,87.0,PhD,580,1
2,63.4,Masters,389,0
0,79.4,High School,409,0
3,62.1,Masters,538,1
8,75.1,Masters,625,0
3,62.1,Masters,462,1
1,75.6,Bachelors,289,0
9,95.2,PhD,622,1
13,83.2,High School,732,1
13,67.7,Bachelors,676,1
4,59.9,Bachelors,521,1
2,45.7,Bachelors,535,0
12,100.0,PhD,565,1
11,59.6,Masters,821,1
12,100.0,High School,771,1
8,92.8,Bachelors,598,1
3,49.7,Bachelors,520,0
5,68.8,PhD,290,1
1,52.6,Masters,526,0
5,77.7,Masters,348,1
2,86.4,Masters,462,0
11,100.0,Masters,719,1
11,76.8,Masters,775,1
8,92.3,Bachelors,632,1
10,98.8,Masters,831,1
1,60.4,Masters,643,0
14,89.1,Masters,835,1
11,100.0,PhD,675,1
11,99.1,Masters,740,1
8,95.6,Masters,610,1
4,100.0,PhD,493,1
7,79.7,Bachelors,579,1
1,64.4,Bachelors,310,0
5,91.6,Masters,471,1
2,91.3,Bachelors,404,1
11,74.1,Masters,574,1
11,80.2,Masters,796,1
13,72.0,Masters,558,1
9,88.1,PhD,775,1
15,100.0,Bachelors,777,1
4,55.0,Masters,326,0
11,100.0,Masters,800,1
7,64.7,Bachelors,649,0
9,67.5,Bachelors,612,1
13,100.0,Masters,900,1
0,51.9,Masters,476,0
4,48.2,Masters,450,0
2,72.7,Bachelors,416,0
3,61.5,Bachelors,660,0
1,77.5,Bachelors,483,0
8,86.0,Bachelors,406,1
2,42.8,PhD,637,0
14,100.0,High School,900,1
1,95.5,PhD,429,1
9,98.5,PhD,553,1
10,100.0,PhD,649,1
8,69.8,Bachelors,423,0
6,69.8,PhD,467,1
15,90.7,Bachelors,673,1
15,96.8,High School,900,1
5,80.9,Bachelors,500,0
0,58.4,PhD,150,0
4,52.9,High School,501,0
11,57.1,Bachelors,716,1
10,82.7,High School,687,1
13,77.7,Bachelors,900,1
14,76.5,High School,697,1
10,100.0,Masters,717,1
2,74.2,Masters,408,0
0,69.8,PhD,384,1
3,79.7,Masters,400,1
12,100.0,PhD,771,1
15,63.2,Bachelors,791,1
1,54.8,Masters,424,0
1,59.8,Masters,407,0
2,46.8,Bachelors,394,0
7,71.3,Masters,591,1
7,52.0,Masters,569,1
11,97.1,Masters,719,1
14,81.5,Masters,719,1
6,72.5,Bachelors,506,0
5,72.0,Masters,318,1
8,81.9,Bachelors,488,1
3,30.3,Masters,240,0
11,90.0,Masters,592,1
0,60.9,PhD,508,0
7,73.1,High School,474,1
6,47.3,High School,760,0
6,71.2,High School,432,1
15,100.0,Bachelors,652,1
14,92.1,Masters,761,1
2,54.5,Masters,439,0
3,57.1,Masters,310,0
9,87.9,Masters,617,1
8,82.0,Bachelors,369,1
14,86.3,High School,780,1
5,62.4,High School,335,0
14,92.3,Masters,823,1
14,88.3,Masters,690,1
4,63.5,Masters,496,1
2,72.9,Bachelors,433,0
8,78.2,Bachelors,499,1
4,92.4,PhD,205,1
4,77.8,High School,490,0
13,91.4,Masters,674,1
3,72.4,Bachelors,425,1
13,64.6,High School,846,1
3,66.1,Masters,525,1
11,84.6,Bachelors,527,1
0,37.5,Masters,396,0
6,79.7,Masters,475,1
8,59.1,Bachelors,576,1
2,52.5,Masters,408,0
11,75.3,Masters,785,1
12,81.0,Bachelors,900,1
14,69.3,Masters,694,1
1,76.1,Masters,495,0
2,59.7,High School,419,0
0,93.9,PhD,602,1
5,72.0,Bachelors,571,0
10,89.8,Masters,733,1
10,68.4,Masters,606,1
6,51.8,Bachelors,433,0
10,86.8,Bachelors,435,1
10,61.1,Bachelors,667,1
1,69.1,Bachelors,447,0
7,100.0,Masters,825,1
13,100.0,Masters,789,1
5,76.1,Bachelors,526,0
13,91.3,Masters,814,1
3,65.2,PhD,569,1
4,67.5,Masters,590,0
7,66.8,Masters,394,1
13,67.5,Masters,535,1
2,62.0,Bachelors,503,0
2,78.1,Bachelors,385,0
13,67.9,Masters,761,1
14,100.0,Bachelors,728,1
13,100.0,Masters,751,1
10,87.2,Masters,478,1
3,73.3,Masters,501,1
0,54.7,Bachelors,239,0
8,74.1,Bachelors,418,1
7,64.5,Bachelors,511,1
7,72.0,Bachelors,499,1
13,85.6,Bachelors,764,1
9,100.0,Masters,733,1
5,71.5,High School,446,0
6,66.4,Bachelors,609,1
5,66.0,Bachelors,533,1
15,76.8,Bachelors,710,1
8,65.3,Bachelors,681,1
2,75.2,Bachelors,280,0
13,83.6,PhD,900,1
2,52.2,Bachelors,415,0
2,56.4,Masters,672,0
9,72.1,PhD,732,1
2,78.4,Bachelors,348,0
8,79.4,Masters,771,1
11,75.3,Bachelors,715,1
3,63.9,Bachelors,483,0
12,84.8,Bachelors,706,1
6,53.8,High School,731,0
13,62.7,Bachelors,777,1
14,100.0,Bachelors,900,1
8,92.1,Masters,562,1
10,90.7,PhD,720,1
11,88.8,High School,862,1
6,98.2,Bachelors,754,1
8,65.5,Bachelors,623,1
11,62.7,Bachelors,832,1
2,75.2,Masters,423,0
14,63.5,Bachelors,900,1
3,59.6,High School,387,0
13,82.8,Masters,900,1
7,85.4,Masters,569,1
5,60.3,Bachelors,448,0
4,87.2,Masters,714,1
12,70.3,Bachelors,777,1
3,74.1,Bachelors,462,0
7,61.5,Bachelors,498,1
0,65.7,Bachelors,438,0
13,75.8,PhD,760,1
8,73.1,Bachelors,439,1
15,100.0,Bachelors,802,1
0,59.2,Bachelors,229,0
7,89.2,Bachelors,472,1
3,66.9,Masters,432,1
8,65.9,Bachelors,402,1
13,86.1,Bachelors,572,1
10,90.5,Masters,707,1
4,36.9,Bachelors,644,1
2,64.8,High School,442,0
8,54.9,High School,657,0
10,59.7,Bachelors,677,1
13,87.1,High School,862,1
13,100.0,Bachelors,727,1
8,80.5,Masters,865,1
3,46.9,Masters,522,0
10,71.2,Masters,659,1
3,61.0,Masters,369,1
11,82.4,Bachelors,620,1
7,74.2,Masters,573,1
1,66.9,Bachelors,322,0
8,88.5,Bachelors,442,1
12,86.7,Bachelors,708,1
13,92.5,High School,674,1
5,71.0,PhD,530,1
8,100.0,Bachelors,566,1
7,79.8,Bachelors,475,0
14,95.8,Bachelors,816,1
14,100.0,High School,741,1
6,70.8,Bachelors,729,0
15,73.3,High School,858,1
12,100.0,Bachelors,657,1
13,100.0,Masters,613,1
0,59.8,Bachelors,260,0
15,100.0,Bachelors,900,1
13,86.0,Masters,665,1
11,100.0,PhD,878,1
2,84.2,Bachelors,370,0
10,79.0,Bachelors,656,1
15,100.0,PhD,723,1
13,98.9,Bachelors,778,1
1,54.0,Bachelors,150,0
4,53.3,Bachelors,465,0
14,100.0,PhD,627,1
4,77.6,PhD,333,1
4,61.7,Masters,467,0
15,88.9,Bachelors,835,1
3,71.1,Bachelors,431,1
4,42.0,Bachelors,428,1
2,76.0,Masters,477,0
11,93.1,PhD,766,1
0,82.3,Bachelors,493,0
4,66.0,Masters,561,0
12,100.0,Bachelors,690,1
8,72.8,Bachelors,533,1
12,87.3,Masters,746,1
8,77.7,Bachelors,529,1
3,94.9,Bachelors,585,0
2,38.4,High School,423,0
0,68.7,Masters,382,0
1,63.9,Masters,329,0
7,78.6,PhD,590,1
15,100.0,Masters,818,1
0,74.1,Bachelors,338,0
7,79.5,Bachelors,665,1
12,100.0,PhD,700,1
6,69.5,Masters,396,1
14,88.5,Masters,771,1
7,60.2,Masters,562,1
11,100.0,Masters,807,1
5,60.2,High School,593,1
11,75.0,Bachelors,653,1
13,96.3,Masters,713,1
14,100.0,Masters,788,1
14,78.9,Masters,841,1
8,91.3,Bachelors,451,1
2,57.0,Bachelors,473,0
9,100.0,Masters,420,1
3,59.1,Masters,301,0
12,96.3,Masters,661,1
5,68.1,Bachelors,580,0
7,62.1,PhD,599,1
4,48.0,Masters,519,0
2,54.1,Masters,437,0
5,82.4,Bachelors,701,0
3,34.4,Bachelors,637,1
8,82.3,Masters,457,1
12,80.7,High School,850,1
2,36.3,Bachelors,546,0
3,51.5,Bachelors,487,0
6,61.3,Masters,444,1
6,70.3,Bachelors,511,1
11,100.0,Bachelors,686,1
11,100.0,PhD,522,1
3,61.8,Masters,375,1
5,55.1,Bachelors,549,0
11,56.1,Bachelors,549,1
12,83.3,PhD,660,1
2,48.0,Bachelors,150,0
5,70.7,Masters,544,1
11,79.5,Bachelors,522,1
1,56.1,Masters,436,0
7,68.4,Masters,588,0
1,52.8,Masters,150,0
10,65.3,High School,570,1
6,94.8,Masters,668,1
8,81.3,Bachelors,558,1
0,73.0,PhD,274,0
7,86.7,Bachelors,398,1
6,87.1,Masters,660,1
5,84.4,High School,605,0
5,80.1,Masters,553,0
5,70.6,Bachelors,491,1
8,64.6,Bachelors,670,1
1,47.1,Bachelors,294,0
0,70.7,Bachelors,192,0
12,79.8,Bachelors,725,1
11,59.1,Bachelors,900,1
5,39.9,Masters,482,1
9,100.0,Bachelors,760,1
10,66.5,Masters,476,1
7,56.7,High School,645,1
2,83.7,Masters,356,0
11,61.4,Bachelors,508,1
9,91.0,PhD,777,1
0,88.6,Masters,389,0
8,100.0,Bachelors,515,1
12,78.5,Masters,814,1
12,81.3,Bachelors,644,1
0,55.3,Masters,331,0
2,56.7,High School,385,0
7,91.0,Bachelors,636,1
13,62.5,Bachelors,861,1
2,75.0,Masters,384,0
15,84.6,Bachelors,845,1
12,100.0,Masters,699,1
3,83.2,Bachelors,486,0
7,60.9,High School,533,1
0,59.6,Masters,453,0
12,98.6,Masters,780,1
12,100.0,PhD,674,1
5,34.2,Masters,385,0
0,74.6,Masters,383,0
13,100.0,Masters,630,1
0,61.3,Bachelors,152,0
13,97.8,Bachelors,900,1
7,86.2,High School,559,1
10,80.8,Bachelors,554,1
3,75.7,Bachelors,432,0
11,87.2,PhD,900,1
0,56.7,Bachelors,417,0
9,69.3,Masters,587,1
6,75.8,Masters,678,1
4,93.8,Bachelors,337,1
4,47.5,High School,482,0
0,66.8,Bachelors,488,0
15,96.1,Masters,781,1
13,100.0,PhD,838,1
9,100.0,Bachelors,781,1
10,67.4,Masters,566,1
5,58.9,Bachelors,649,0
13,79.5,Masters,777,1
8,70.0,Masters,446,1
8,63.0,High School,750,1
7,72.2,High School,572,0
4,48.2,High School,504,0
0,46.8,Bachelors,204,0
8,65.4,Masters,815,0
0,64.9,Bachelors,505,0
7,74.3,Masters,623,1
4,61.9,Bachelors,530,1
2,52.6,Masters,481,1
10,57.2,Masters,656,1
6,97.7,Masters,462,1
6,65.2,Bachelors,782,1
8,100.0,Bachelors,601,1
6,84.8,Masters,305,1
12,100.0,Bachelors,747,1
15,100.0,Bachelors,729,1
10,79.9,Bachelors,630,1
13,78.3,Masters,600,1
2,50.6,Masters,555,0
10,98.0,Masters,594,1
12,85.5,Bachelors,665,1
14,94.7,Bachelors,703,1
13,100.0,PhD,855,1
12,86.8,Bachelors,803,1
0,50.4,Bachelors,242,0
7,90.4,Masters,450,1
11,76.5,Bachelors,629,1
2,62.9,Bachelors,643,0
11,90.3,Bachelors,615,1
7,70.6,Bachelors,491,0
7,44.2,Bachelors,454,0
12,100.0,Masters,708,1
4,84.3,Bachelors,423,1
12,54.0,Bachelors,732,1
11,67.6,Masters,623,1
12,100.0,PhD,899,1
15,91.0,Bachelors,739,1
0,61.3,Masters,150,0
12,78.9,Masters,752,1
9,60.0,Bachelors,750,0
6,66.6,Bachelors,357,1
11,94.1,Bachelors,733,1
9,79.0,Masters,578,1
4,74.7,Bachelors,442,1
7,98.0,Bachelors,386,1
8,68.5,Masters,667,1
10,82.0,Bachelors,705,1
13,100.0,Masters,572,1
6,59.3,Masters,349,1
13,86.2,Bachelors,602,1
12,100.0,PhD,622,1
14,75.9,High School,795,1
6,81.0,High School,444,1
0,55.4,Bachelors,321,0
14,100.0,Masters,873,1
3,42.6,Masters,211,0
1,60.5,Bachelors,450,0
1,37.3,Bachelors,393,0
1,49.0,Bachelors,394,0
3,56.6,Masters,536,1
13,83.2,Masters,699,1
0,43.4,Masters,216,0
14,88.2,Masters,827,1
3,74.2,Masters,501,1
1,36.5,Bachelors,485,0
4,56.0,Bachelors,542,0
2,100.0,Masters,343,1
14,90.4,Bachelors,810,1
11,47.7,High School,710,1
7,58.0,PhD,700,1
3,70.6,Masters,341,1
0,59.0,Bachelors,196,0
0,52.4,Masters,355,0
11,100.0,PhD,645,1
9,100.0,High School,796,1
2,57.5,Bachelors,638,0
14,98.6,Bachelors,881,1
8,87.3,Bachelors,631,1
6,89.1,Masters,511,1
1,49.9,Bachelors,371,0
14,100.0,High School,830,1
12,76.0,High School,787,1
8,75.3,High School,573,1
9,75.5,Bachelors,559,1
1,61.2,Masters,445,0
2,65.7,Bachelors,386,0
10,63.5,Masters,597,1
12,55.7,Masters,900,1
9,72.3,Bachelors,765,1
13,74.0,Masters,862,1
1,71.5,Masters,511,0
2,68.0,Bachelors,496,0
5,67.7,Bachelors,339,1
8,99.5,Masters,309,1
8,80.9,PhD,701,1
6,47.6,Bachelors,402,1
11,76.1,Bachelors,587,1
2,79.1,Bachelors,398,0
3,30.7,High School,553,0
5,69.8,Masters,481,1
10,86.1,Bachelors,703,1
4,100.0,Bachelors,561,1
1,77.6,Bachelors,403,0
12,79.0,High School,641,1
5,75.3,Bachelors,592,1
2,33.0,Bachelors,280,0
15,67.3,High School,900,1
13,97.0,Masters,797,1
7,81.4,PhD,493,1
1,63.8,Bachelors,227,0
0,58.0,Bachelors,322,0
8,73.4,Bachelors,374,1
13,85.0,Bachelors,788,1
11,63.7,Bachelors,639,1
2,58.1,Bachelors,277,0
10,62.6,Masters,498,1
0,48.2,Bachelors,538,0
6,82.9,High School,500,1
12,82.5,Masters,549,1
14,98.2,Masters,900,1
9,77.2,Bachelors,583,1
4,59.7,Bachelors,482,0
4,50.4,Bachelors,315,1
13,77.5,Bachelors,813,1
0,60.2,Bachelors,310,0
14,94.2,Bachelors,620,1
14,87.3,Bachelors,655,1
8,87.0,Masters,466,1
6,50.4,Masters,559,1
7,84.5,Bachelors,766,1
8,56.6,Bachelors,717,1
5,82.3,Bachelors,686,0
11,87.0,Bachelors,536,1
4,37.4,Bachelors,421,0
5,82.3,Masters,491,1
10,96.2,Masters,602,1
1,82.1,Masters,334,0
3,55.7,Masters,345,0
2,71.7,PhD,234,0
12,95.7,Masters,773,1
6,88.0,PhD,622,1
8,79.6,Bachelors,659,1
4,54.6,High School,308,0
5,86.1,Masters,544,1
9,97.9,PhD,467,1
13,81.2,Bachelors,736,1
11,67.7,Bachelors,587,1
11,68.6,Bachelors,695,1
1,83.7,Masters,368,1
15,100.0,Bachelors,847,1
2,64.9,Masters,315,0
2,66.0,PhD,293,0
11,56.7,Masters,642,1
11,78.2,Bachelors,766,1
14,67.6,Bachelors,737,1
8,75.9,Bachelors,619,1
14,100.0,Bachelors,786,1
6,54.8,Bachelors,491,0
7,78.8,Masters,250,0
10,92.5,Bachelors,879,1
15,94.6,Masters,730,1
15,87.1,PhD,862,1
9,71.2,High School,524,1
10,99.4,PhD,579,1
8,81.2,Masters,691,1
5,67.4,Bachelors,560,0
3,80.8,Bachelors,541,0
